ARPSPOOFER; 2019-05-09 23:23:01; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-09 23:23:01; INFO; Loading config...
ARPSPOOFER; 2019-05-09 23:23:01; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-09 23:23:01; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-09 23:23:01; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
DNSSPOOFER; 2019-05-09 23:23:01; DEBUG; Inserting iptables rules:  iptables -I FORWARD -j NFQUEUE --queue-num 1
ARPSPOOFER; 2019-05-09 23:23:01; DEBUG; Iterating...
ARPSPOOFER; 2019-05-09 23:23:24; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-09 23:23:24; INFO; Loading config...
ARPSPOOFER; 2019-05-09 23:23:24; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-09 23:23:24; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-09 23:23:24; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
DNSSPOOFER; 2019-05-09 23:23:24; DEBUG; Inserting iptables rules:  iptables -I FORWARD -j NFQUEUE --queue-num 1
ARPSPOOFER; 2019-05-09 23:23:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-09 23:25:06; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-09 23:25:06; INFO; Loading config...
ARPSPOOFER; 2019-05-09 23:25:06; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-09 23:25:06; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-09 23:25:06; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
DNSSPOOFER; 2019-05-09 23:25:07; DEBUG; Inserting iptables rules:  iptables -I FORWARD -j NFQUEUE --queue-num 1
ARPSPOOFER; 2019-05-09 23:25:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-09 23:33:29; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-09 23:33:29; INFO; Loading config...
ARPSPOOFER; 2019-05-09 23:33:29; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-09 23:33:29; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-09 23:33:29; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
DNSSPOOFER; 2019-05-09 23:33:29; DEBUG; Inserting iptables rules:  iptables -I FORWARD -j NFQUEUE --queue-num 1
ARPSPOOFER; 2019-05-09 23:33:29; DEBUG; Iterating...
